time,AUV5_GJQ_Error,AUV6_GJQ_Error,AUV7_GJQ_Error,AUV8_GJQ_Error,AUV9_GJQ_Error
3.4,0.589527741,1.16952374,3.509504662,8.759501644,11.38450101
3.5,0.499782678,1.009777368,3.009755381,8.259751503,10.8847509
3.6,0.420039368,0.840033027,2.510006475,7.760001373,10.38500079
3.7,0.340310146,0.670291907,2.010259967,7.260251256,9.885250697
3.8,0.250574346,0.500557286,1.510511947,6.760501153,9.385500617
3.9,0.170849623,0.340836556,1.010766112,6.260751071,8.885750554
4,0.091171656,0.171178643,0.511028871,5.761001012,8.38600051
4.1,0.005526016,0.008081397,0.012388166,5.261250985,7.88625049
4.2,0.005421617,0.008312918,0.005197553,4.761501001,7.386500497
4.3,0.00537073,0.008574248,0.00511402,4.261751072,6.886750539
4.4,0.005375127,0.003918411,0.005087748,3.762001224,6.387000624
4.5,0.005434933,0.004077465,0.00511989,3.262251492,5.887250762
4.6,0.005548621,0.004298915,0.005209637,2.762501941,5.387500969
4.7,0.005713241,0.004573994,0.005354371,2.262752691,4.887751267
4.8,0.005924817,0.004893947,0.005550072,1.763003999,4.388001686
4.9,0.006178793,0.00525085,0.005791853,1.263256527,3.888252274
5,0.006470442,0.005637955,0.006074488,0.763512673,3.388503106
5.1,0.006795175,0.006049725,0.006392833,0.263793013,2.88875431
5.2,0.007148741,0.00648171,0.006742097,0.006519948,2.389006118
5.3,0.00752733,0.006930375,0.007117993,0.00699096,1.889259012
5.4,0.007927607,0.007392921,0.007516781,0.008823195,1.389522082
5.5,0.008641025,0.007867132,0.008244296,0.009243333,0.889784938
5.6,0.00878214,0.008351247,0.008370735,0.009145964,0.39008138
5.7,0.008882415,0.008934436,0.008463942,0.009051612,0.008035496
5.8,0.008505664,0.008537703,0.00808995,0.008639442,0.007696594
5.9,0.008150995,0.008159623,0.007739215,0.008244469,0.007384795
6,0.007821157,0.007802628,0.007414768,0.007869006,0.007103371
6.1,0.007519152,0.007469442,0.007119914,0.00751569,0.006855752
6.2,0.007248181,0.007163078,0.006858172,0.007187478,0.006645397
6.3,0.00701155,0.006886786,0.006633146,0.006887639,0.006475601
6.4,0.006812533,0.006643977,0.006448357,0.006619689,0.006349274
6.5,0.006654195,0.006438084,0.006307005,0.00638729,0.006268694
6.6,0.006539169,0.006272374,0.006211712,0.006194077,0.006235277
