time,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z
1.6,0.96,2.513240375,10.6,0.96,26.76195168,-31.4,21.96,-9.611115278,-31.4,-20.04,-9.611115278,-31.4,-4.311616863,-1.189434883,1.237138591,-9.398971468,-3.068145676,-9.278945713,0.773095534,1.398796095,-8.306244274,10.4848837,-5.27373148,-18.88892035,-4.93367156,-8.353141219,-24.53403478
1.7,1.02,2.670313276,10.575,1.02,26.91902458,-31.425,22.02,-9.454042377,-31.425,-19.98,-9.454042377,-31.425,-4.382287793,-1.11756063,1.226316615,-9.473949718,-3.02473228,-9.347149523,0.857776676,1.580205757,-8.348863242,10.62559714,-5.241897839,-18.87597723,-5.006290486,-8.454391886,-24.49674016
1.8,1.08,2.827385337,10.55,1.08,27.07609664,-31.45,22.08,-9.296970316,-31.45,-19.92,-9.296970316,-31.45,-4.436204077,-1.033926823,1.217692242,-9.535552234,-2.963987995,-9.417013932,0.933070006,1.763882731,-8.404972512,10.7906307,-5.192553785,-18.86671486,-5.045905753,-8.549779973,-24.46006444
1.9,1.14,2.984456508,10.525,1.14,27.23316781,-31.475,22.14,-9.139899145,-31.475,-19.86,-9.139899145,-31.475,-4.470261242,-0.940681352,1.211752689,-9.579341343,-2.891595791,-9.488906706,0.993752016,1.945185698,-8.47566242,10.97837926,-5.122530522,-18.86132991,-5.05387495,-8.635653264,-24.42370349
2,1.2,3.141526739,10.5,1.2,27.39023805,-31.5,22.2,-8.982828914,-31.5,-19.8,-8.982828914,-31.5,-4.484286514,-0.836083672,1.208581525,-9.602716763,-2.809270675,-9.56358696,1.045120248,2.125718046,-8.561012941,11.18689155,-5.028838818,-18.86041241,-5.031682294,-8.708939151,-24.38775982
2.1,1.26,3.298595982,10.475,1.26,27.54730729,-31.525,22.26,-8.825759671,-31.525,-19.74,-8.825759671,-31.525,-4.479103615,-0.717646675,1.207859933,-9.60652456,-2.715226117,-9.641843419,1.095261845,2.310153757,-8.659400945,11.41363909,-4.908512724,-18.86494801,-4.981004074,-8.766987804,-24.35274486
2.2,1.32,3.455664187,10.45,1.32,27.70437549,-31.55,22.32,-8.668691466,-31.55,-19.68,-8.668691466,-31.55,-4.455446075,-0.583292217,1.208867043,-9.592372072,-2.608553561,-9.721391184,1.153612401,2.503068091,-8.769472753,11.65042788,-4.755054431,-18.87632321,-4.907453547,-8.804556035,-24.31958073
2.3,1.38,3.612731304,10.425,1.38,27.86144261,-31.575,22.38,-8.511624349,-31.575,-19.62,-8.511624349,-31.575,-4.413892107,-0.43134,1.210479441,-9.561715592,-2.488933614,-9.7987736,1.225468438,2.707199346,-8.890687078,11.88042562,-4.573633535,-18.89846931,-4.823430006,-8.812211082,-24.28960042
2.4,1.44,3.769797285,10.4,1.44,28.01850859,-31.6,22.44,-8.354558368,-31.6,-19.56,-8.354558368,-31.6,-4.354818174,-0.260502534,1.211170308,-9.515018653,-2.355357167,-9.87576825,1.310727991,2.922293886,-9.025377988,12.08244681,-4.387729116,-18.93760277,-4.731223991,-8.789469234,-24.26454567
2.5,1.5,3.926862079,10.375,1.5,28.17557338,-31.625,22.5,-8.197493574,-31.625,-19.5,-8.197493574,-31.625,-4.278431728,-0.069997158,1.208981986,-9.452579079,-2.207133103,-9.954803294,1.409611293,3.146661155,-9.176529953,12.25450853,-4.205535519,-18.99482098,-4.632181584,-8.736619019,-24.24656091
2.6,1.56,4.083925637,10.35,1.56,28.33263694,-31.65,22.56,-8.040430016,-31.65,-19.44,-8.040430016,-31.65,-4.187752212,0.13496122,1.200626332,-9.374578242,-2.043987328,-10.03863891,1.521533897,3.379096431,-9.346640784,12.39825239,-4.031448031,-19.06778261,-4.52728868,-8.654267255,-24.23818151
2.7,1.62,4.240987909,10.325,1.62,28.48969922,-31.675,22.62,-7.883367744,-31.675,-19.38,-7.883367744,-31.675,-4.089198687,0.341268347,1.181771484,-9.28109109,-1.866110449,-10.13035353,1.644879888,3.619442992,-9.537971354,12.51799242,-3.862956717,-19.1526768,-4.417216071,-8.543365348,-24.24231438
2.8,1.68,4.398048847,10.3,1.68,28.64676015,-31.7,22.68,-7.726306806,-31.7,-19.32,-7.726306806,-31.7,-3.9853951,0.541433722,1.15183924,-9.17210718,-1.674216604,-10.23330764,1.777886734,3.867505364,-9.75263378,12.6184443,-3.693102094,-19.24541079,-4.302378454,-8.40525139,-24.26220839
